x,y,z
-0.009296,-16.256096,8.626873
-3.633585,-14.600796,8.087443
-3.249359,-9.006018,8.725576
-0.004543,-9.777369,9.455864
-7.431625,-8.522100,8.975014
-7.652504,-13.638123,8.235884
-4.992212,-8.495157,8.505603
-2.207821,-2.979458,10.860718
0.000000,-3.262192,11.279062
0.000000,-0.017351,12.465528
-4.790873,1.792123,13.724400
-6.033665,-1.241531,12.153680
-3.738844,-2.388231,10.899487
0.000000,5.282343,13.116241
0.000000,9.828943,11.103879
-3.506002,9.814282,10.447677
-3.685328,5.491269,12.849192
-4.720432,15.865406,5.869950
-3.805201,13.476453,7.855860
0.000000,13.582542,8.459484
0.000004,16.515303,6.108444
0.000000,19.928507,4.915816
-6.682667,17.399189,4.651505
-4.469309,16.627321,5.465682
0.000000,24.001869,4.732655
0.000000,28.649723,4.596830
0.000000,35.802250,4.214384
0.000000,42.276974,3.081911
-7.711929,42.349369,2.913521
-7.478146,35.800472,3.973113
0.000000,54.463005,-5.067858
0.013920,67.404175,-9.572762
-6.151781,67.594666,-9.672038
-7.638191,54.726212,-5.137537
-7.924162,48.579254,-1.059594
-7.909374,46.149513,1.003970
0.000000,45.940903,1.106576
0.000000,48.343536,-1.029928
0.398548,84.509216,-17.048275
-11.632200,-1.501762,10.605971
-13.259405,-2.397657,5.628587
-12.109951,1.319949,5.961928
-9.331381,2.099735,11.715458
-22.246777,1.206240,-3.610512
-23.528126,-3.633015,-3.116434
-14.670591,-3.169830,0.296865
-14.259623,1.193673,0.504161
-8.760502,5.316803,10.214691
-11.570171,4.000069,4.976743
-16.736177,4.754059,-0.908107
-12.741932,3.945127,2.139861
-33.644672,-25.267464,-90.681007
-34.765846,-23.557404,-90.105682
-35.686974,-19.906315,-86.388519
-28.728119,-35.364014,-45.615051
-29.868937,-27.054646,-60.352974
-28.214968,-26.333057,-61.344868
-27.197029,-33.467690,-45.721462
-29.580536,-47.085812,-38.855167
-29.970501,-41.422905,-41.687008
-32.291393,-25.392506,-91.498840
-37.655594,-30.967407,-123.777725
-37.174091,-31.638687,-125.544441
-30.774004,-25.641941,-92.052719
-36.045986,-15.733582,-22.589478
-30.786556,-16.780720,-16.679714
-33.478889,-13.087807,-31.137117
-32.574047,-12.648621,-49.948807
-52.195419,-18.695457,-70.707260
-55.553749,-23.224529,-94.971016
-44.328625,-15.817707,-73.704018
-69.483810,0.296597,-27.775982
-65.810074,-4.723825,-23.466930
-63.899765,-0.725471,-22.980904
-66.794052,3.741330,-24.758661
-68.758987,9.368368,-25.797947
-71.187988,7.460958,-30.684731
-59.375271,-7.596014,-18.521694
-49.569378,-7.655764,-13.281898
-50.423912,-4.031450,-15.793058
-59.072166,-3.369526,-20.019295
-38.384724,-16.690922,-80.666290
-36.428673,-5.828588,-7.866766
-36.473820,-2.195982,-9.715092
-72.346863,14.415921,-31.408373
-70.506065,15.280673,-25.616070
-72.025482,21.905323,-24.741880
-74.038437,21.594116,-30.587559
-75.370712,29.854458,-29.145554
-71.824173,29.299839,-22.141367
-68.852432,36.874252,-17.631683
-75.227493,38.170254,-27.256144
-68.765930,45.141174,-17.056620
-74.767349,45.359318,-26.890951
-68.464706,51.082283,-17.903490
-73.909927,50.277252,-27.384521
-70.519272,60.423199,-28.439648
-72.455811,54.554420,-27.920734
-67.392365,55.240837,-19.309223
-65.174255,61.386005,-21.442432
-61.082191,73.201790,-26.788486
-65.565758,69.682999,-28.021318
-68.216171,65.829369,-28.360325
-68.078629,69.140259,-32.180443
-70.492233,69.666107,-38.437706
-56.525177,62.114334,-14.904709
-58.873116,56.370735,-11.651845
-45.400127,61.285732,-9.094088
-49.788727,55.643860,-5.569118
-46.605694,56.684662,-5.079406
-43.762375,74.795914,-17.251911
-52.842529,75.502029,-22.759836
-59.683571,45.450039,-9.304113
-59.451881,38.185982,-9.976125
-46.536190,36.155205,-4.670532
-46.813293,43.652824,-3.409885
-50.124161,54.542160,-4.846281
-59.872833,52.637947,-10.125335
-47.188530,51.800251,-3.145499
-43.702522,54.288074,-3.251450
-32.858421,51.432110,-1.459669
-32.937389,57.485004,-4.936922
-21.463509,48.358845,-0.044861
-21.248154,52.707726,-2.529114
-23.666954,69.346130,-10.083857
-33.069885,71.787979,-12.301911
-20.784405,59.310478,-5.568565
-31.801451,39.500690,0.224787
-30.740658,31.878319,-0.930273
-19.219557,36.534035,2.194187
-20.687059,43.876255,1.634792
-32.442169,47.169289,0.088443
-43.833870,53.111717,-2.504167
-13.868896,46.718399,0.680869
-13.324919,49.221325,-1.186846
-16.636427,50.820042,-1.940402
-13.255091,54.898869,-5.268311
-13.628799,69.513954,-10.856260
-15.493874,52.307701,-4.230329
-17.246357,53.933350,-4.880380
-18.935841,68.675430,-10.693625
-18.489777,59.493279,-7.168991
-12.610353,35.820633,3.278813
-13.391827,42.746140,2.452961
-18.975927,-34.226131,-29.424088
-11.585573,-32.352913,-27.003613
-13.893095,-37.047855,-16.334211
-19.856094,-39.041763,-19.488644
-22.423046,-38.632450,-26.108673
-7.306414,-37.560265,-10.353202
0.000000,-35.964340,-11.505863
0.000000,-31.434399,-25.511879
-23.395588,-39.613907,-33.063065
-23.379375,-44.476284,-22.396507
-24.052303,-36.930359,-39.107018
-19.633516,-32.523125,-40.326969
-19.474430,-34.316788,-34.679241
-57.714012,-27.105255,-114.976334
-66.337425,-29.629250,-134.476440
-66.961365,-34.025875,-139.340179
-64.838867,-34.669476,-138.229980
-67.936508,-38.666996,-145.153244
-65.299545,-39.175224,-143.389145
-55.262543,-35.630760,-136.876953
-58.961243,-40.178833,-142.536804
-12.354403,90.775169,-20.636147
-22.166821,110.106300,-34.573254
-22.089226,84.987099,-17.920214
0.000000,95.483093,-219.921249
0.084412,64.107040,-233.774078
-8.031332,63.964825,-233.619385
-8.268719,95.369499,-219.779358
0.000000,121.379509,-200.428024
-15.755001,95.891991,-218.776642
-15.130270,63.631252,-232.801712
-22.105560,63.887878,-230.470352
-23.805752,100.619102,-214.226486
-23.698292,121.863510,-198.651657
-19.861080,124.880089,-198.237457
0.671902,37.904209,-235.494385
1.894581,16.155865,-231.997345
-4.439951,15.751501,-231.601196
-6.850197,37.590343,-235.220001
-13.307661,37.007187,-234.069534
-9.928728,15.206518,-230.418121
-15.450703,15.220427,-228.630646
-20.093088,35.306725,-231.689285
